Temps (s),Depl (mm),Force (kN),Jauge 0,Jauge 1,Jauge 2,Jauge 3
0.267118,13.772,-0.211795,0.000113,-0.001096,-0.00192,0.000339
1.512012,13.772,0.314357,0.000112,-0.001098,-0.001915,0.00034
2.778609,13.772,-0.043255,0.000113,-0.001096,-0.001918,0.000341
5.294265,13.772,0.17981,0.000108,-0.001103,-0.001922,0.000339
6.558994,13.772,-0.064549,9.7e-05,-0.00111,-0.001917,0.000329
9.071685,13.772,-0.2241,9.4e-05,-0.00111,-0.001916,0.000328
11.588875,13.772,0.092343,0.000107,-0.0011,-0.001925,0.000337
12.840718,13.772,0.745175,0.000108,-0.001099,-0.001925,0.000338
15.355987,13.772,1.772075,9.9e-05,-0.001104,-0.001929,0.000324
16.622863,13.772,-0.557496,9.1e-05,-0.00111,-0.001932,0.000316
19.152903,13.772,-0.01973,7.1e-05,-0.001128,-0.001943,0.000292
21.668289,13.772,-0.168118,6.4e-05,-0.001133,-0.001944,0.000289
22.919753,13.772,-0.457149,6.2e-05,-0.001133,-0.001939,0.000288
25.434122,13.772,-0.162298,5.7e-05,-0.001142,-0.001941,0.000275
26.699818,13.772,1.075448,5.5e-05,-0.001142,-0.001953,0.000274
29.230855,13.772,0.089766,5.7e-05,-0.001143,-0.001951,0.000271
30.480182,13.772,0.092603,5.5e-05,-0.001142,-0.001952,0.000275
32.995632,13.772,0.04163,6.2e-05,-0.001139,-0.001954,0.000282
35.512337,13.772,0.143734,5.3e-05,-0.001145,-0.001957,0.000272
36.777411,13.772,0.080808,4.8e-05,-0.00115,-0.001956,0.000265
39.278779,13.772,-0.357328,4.9e-05,-0.001146,-0.001947,0.000267
40.544111,13.772,-0.112176,4.4e-05,-0.001147,-0.001944,0.00026
43.059614,13.772,0.452506,5.4e-05,-0.001138,-0.001945,0.000273
45.559638,13.772,0.272696,5.3e-05,-0.00114,-0.001947,0.000267
46.825194,13.772,1.160385,5e-05,-0.001143,-0.001952,0.000266
49.340169,13.772,0.249479,5.1e-05,-0.001138,-0.00195,0.000266
50.591169,13.772,0.336402,4.9e-05,-0.001144,-0.001952,0.000259
53.103757,13.772,0.233421,4.8e-05,-0.001147,-0.001958,0.000255
55.605767,13.772,0.216714,4e-05,-0.001151,-0.00196,0.000249
56.871698,13.772,0.43746,3.3e-05,-0.001154,-0.00195,0.000242
59.387741,13.772,-0.102625,4.3e-05,-0.001146,-0.001958,0.000252
60.653627,13.772,0.267676,5e-05,-0.001139,-0.001953,0.000258
63.184016,13.772,0.235708,6.4e-05,-0.001129,-0.00196,0.000279
64.449802,13.772,0.345436,5.9e-05,-0.001131,-0.001953,0.000273
66.966513,13.772,0.264557,4.5e-05,-0.001142,-0.001955,0.000254
69.481026,13.772,-0.400277,3.1e-05,-0.001155,-0.001962,0.000241
70.731013,13.772,0.440826,2.6e-05,-0.00116,-0.001957,0.000236
73.232648,13.772,0.272934,2.8e-05,-0.001156,-0.001964,0.000229
74.480132,13.772,0.421258,2.9e-05,-0.001154,-0.001967,0.00023
76.980755,13.772,0.513545,2.8e-05,-0.001156,-0.001974,0.000231
79.480822,13.772,0.38831,3.3e-05,-0.001146,-0.001966,0.000241
80.746441,13.772,-0.220322,3e-05,-0.001148,-0.001963,0.00024
83.261914,13.772,0.366449,3.3e-05,-0.001146,-0.001957,0.000234
84.528113,13.772,0.365841,3.5e-05,-0.001145,-0.001956,0.000239
87.059005,13.772,0.456485,3.3e-05,-0.001147,-0.001958,0.000237
89.574696,13.772,0.327572,4e-05,-0.001138,-0.001968,0.000246
90.824727,13.772,-0.067351,3.5e-05,-0.001142,-0.001962,0.00024
93.355275,13.772,0.653718,2.6e-05,-0.001149,-0.001965,0.000231
94.622759,13.772,-0.474517,2.9e-05,-0.001146,-0.001962,0.000232
97.154118,13.772,0.325318,3.1e-05,-0.00114,-0.00197,0.000237
99.668429,13.772,0.540567,2.2e-05,-0.001152,-0.001976,0.000217
100.919136,13.772,0.713158,2.3e-05,-0.001148,-0.001969,0.000216
103.450768,13.772,0.655118,3.4e-05,-0.001135,-0.001972,0.000235
104.699091,13.772,0.646603,3e-05,-0.001141,-0.001967,0.000228
107.199839,13.772,-0.326273,2.8e-05,-0.00114,-0.001971,0.000227
108.450105,13.772,0.628916,2.5e-05,-0.001139,-0.001967,0.000227
110.950789,13.772,0.266599,2.7e-05,-0.001138,-0.001967,0.000229
113.480936,13.772,2.840691,1.5e-05,-0.001155,-0.001982,0.000201
114.73281,13.772,0.559905,1.6e-05,-0.001153,-0.001975,0.000197
117.262682,13.772,0.481048,5e-06,-0.001158,-0.00198,0.000195
118.527222,13.772,0.832123,3e-06,-0.001156,-0.001975,0.000196
121.028729,13.772,0.662074,1.6e-05,-0.00115,-0.001972,0.000207
123.543571,13.772,0.507282,2.1e-05,-0.001147,-0.001965,0.000215
124.809382,13.772,0.70294,1.9e-05,-0.001147,-0.001965,0.000212
127.309924,13.772,0.297895,2.7e-05,-0.001142,-0.001966,0.000216
128.574194,13.772,0.607827,2.3e-05,-0.001144,-0.001967,0.000211
131.090248,13.772,3.643233,1.8e-05,-0.001154,-0.00197,0.000205
133.606996,13.772,0.624236,2.4e-05,-0.001147,-0.001961,0.000212
134.870781,13.772,0.663883,2.8e-05,-0.001141,-0.001966,0.00022
137.371778,13.772,0.690536,3.3e-05,-0.001139,-0.001962,0.000221
138.636396,13.772,0.683767,3.1e-05,-0.001136,-0.001961,0.000228
141.153592,13.772,0.499765,2.3e-05,-0.001141,-0.001962,0.000223
143.68376,13.772,0.481711,2.8e-05,-0.001139,-0.001968,0.000224
144.93402,13.772,0.705789,2.2e-05,-0.001145,-0.001961,0.000217
147.466203,13.772,0.634943,1.5e-05,-0.001146,-0.001968,0.000212
148.731243,13.772,0.408143,1.4e-05,-0.001149,-0.00196,0.000214
151.230669,13.772,0.743361,3e-05,-0.001137,-0.001958,0.000228
152.482717,13.772,0.416844,3.7e-05,-0.001131,-0.001956,0.000234
154.9805,13.772,0.687862,4.3e-05,-0.001121,-0.00196,0.000242
157.480503,13.772,0.655203,5.4e-05,-0.001116,-0.001959,0.000249
158.730819,13.772,0.696298,5.4e-05,-0.001116,-0.00195,0.000246
161.231154,13.772,0.642805,6.2e-05,-0.00111,-0.001951,0.000251
162.481986,13.772,2.131458,6.3e-05,-0.001108,-0.001947,0.000256
164.980194,13.772,0.706813,6.7e-05,-0.001103,-0.001952,0.000264
167.483047,13.772,0.597121,6.3e-05,-0.001104,-0.001952,0.00026
168.7321,13.772,0.537103,6.1e-05,-0.001107,-0.001952,0.000255
171.247586,13.772,-0.192559,6.7e-05,-0.001107,-0.001946,0.000258
172.511883,13.772,0.679782,6.8e-05,-0.001105,-0.00195,0.000262
