Temps (s),Depl (mm),Force (kN),Jauge 0,Jauge 1,Jauge 2,Jauge 3
175.010972,8.938,0.755913,0.001289,0.000264,-0.002075,-0.000588
177.544007,8.94,0.514705,0.001293,0.000277,-0.002069,-0.000577
178.791608,8.94,0.191074,0.001295,0.000275,-0.002071,-0.000579
181.30811,8.942,0.335616,0.001303,0.000282,-0.002064,-0.000574
182.558881,8.942,0.219076,0.001308,0.000286,-0.002063,-0.000567
185.074022,8.944,0.224974,0.00131,0.000289,-0.002056,-0.000559
187.574859,8.946,0.295571,0.001309,0.000289,-0.002049,-0.000559
188.838961,8.946,0.286542,0.001313,0.000292,-0.002049,-0.000555
191.37172,8.948,0.059271,0.001314,0.000297,-0.002052,-0.000555
192.620104,8.949,-0.152485,0.00131,0.000296,-0.002049,-0.000554
195.135709,8.95,2.104099,0.001305,0.000291,-0.002046,-0.000557
197.636463,8.952,0.158741,0.001306,0.00029,-0.002038,-0.000561
198.901271,8.953,0.429553,0.00131,0.00029,-0.002044,-0.000558
201.433673,8.953,0.234489,0.0013,0.000288,-0.002039,-0.000563
202.69873,8.955,0.220129,0.001301,0.000289,-0.002045,-0.000561
205.214815,8.957,0.310723,0.001296,0.000286,-0.002041,-0.000562
206.4797,8.957,0.291904,0.001298,0.000287,-0.002046,-0.000562
208.979126,8.959,0.07556,0.001298,0.000294,-0.002047,-0.000555
211.495433,8.96,0.349478,0.001294,0.000294,-0.002044,-0.000557
212.745112,8.961,1.660002,0.001288,0.000294,-0.00205,-0.000559
215.261546,8.963,-0.458458,0.00129,0.000295,-0.002045,-0.000559
216.526239,8.964,0.426628,0.001294,0.000295,-0.002047,-0.000557
219.05815,8.967,0.273416,0.001296,0.000293,-0.002046,-0.000556
221.572874,8.968,0.446239,0.001294,0.000289,-0.002042,-0.00056
222.823597,8.969,0.293319,0.001292,0.000289,-0.002047,-0.000559
225.32398,8.97,0.444704,0.001293,0.000292,-0.002048,-0.000558
226.58928,8.971,0.411623,0.001293,0.000292,-0.002045,-0.000558
229.105622,8.973,0.345361,0.001299,0.000296,-0.002044,-0.000553
231.605383,8.974,0.556171,0.001298,0.000301,-0.002044,-0.00055
232.870443,8.975,0.059077,0.001295,0.000302,-0.002039,-0.000548
235.371684,8.977,0.366224,0.001292,0.000302,-0.002031,-0.000549
236.635838,8.978,0.418748,0.001294,0.0003,-0.002029,-0.000549
239.16817,8.979,1.082578,0.001291,0.000301,-0.002036,-0.000546
241.683205,8.98,0.425852,0.00129,0.0003,-0.002037,-0.000547
242.932978,8.981,0.210666,0.001284,0.000297,-0.002033,-0.000547
245.43298,8.983,0.417022,0.001284,0.000301,-0.002035,-0.000544
246.683469,8.983,0.468727,0.00129,0.000305,-0.002041,-0.000547
249.183685,8.985,-0.493104,0.001284,0.000304,-0.002042,-0.000543
251.683014,8.986,0.341169,0.001294,0.000306,-0.00204,-0.000541
252.93403,8.987,-0.147155,0.001293,0.000311,-0.002033,-0.000539
255.433665,8.989,0.269697,0.001296,0.000314,-0.002035,-0.000537
256.682835,8.989,-0.036995,0.001299,0.000321,-0.002043,-0.000534
259.183571,8.991,0.206529,0.0013,0.000325,-0.002043,-0.00053
261.698558,8.992,0.428823,0.001307,0.00033,-0.002043,-0.000523
262.949129,8.993,0.522943,0.001305,0.000332,-0.002041,-0.000521
265.465291,8.995,0.262874,0.001296,0.00033,-0.002046,-0.000522
266.731222,8.996,0.263909,0.001296,0.000329,-0.002042,-0.000527
270.495839,8.997,0.308367,0.001286,0.000325,-0.00204,-0.00053
273.026575,8.999,0.281072,0.00129,0.000322,-0.002046,-0.000533
275.526712,9.0,0.501485,0.001291,0.00032,-0.002046,-0.00053
276.778209,9.001,0.570736,0.00129,0.000321,-0.002049,-0.000528
279.293582,9.003,0.216189,0.001286,0.000321,-0.002048,-0.000528
280.53716,9.003,-0.33387,0.001284,0.000321,-0.002044,-0.000526
283.026655,9.005,0.411427,0.001292,0.000327,-0.002044,-0.000525
285.542087,9.006,0.201788,0.001289,0.000327,-0.002043,-0.000525
286.793058,9.007,0.289528,0.001288,0.000327,-0.002048,-0.000525
289.308606,9.01,0.042044,0.001287,0.000328,-0.002042,-0.00052
290.55821,9.01,0.593622,0.001286,0.000328,-0.002049,-0.000521
293.073346,9.012,0.552695,0.001275,0.000327,-0.002047,-0.000524
295.589077,9.013,0.439168,0.001274,0.000324,-0.002043,-0.000526
296.840133,9.013,0.558271,0.001273,0.000324,-0.002048,-0.000526
299.355717,9.015,0.547088,0.001275,0.000326,-0.002043,-0.000525
303.120062,9.017,0.660455,0.001271,0.000327,-0.002044,-0.000524
305.620583,9.019,0.512084,0.001262,0.00032,-0.002038,-0.000531
306.885986,9.019,0.508582,0.001264,0.000316,-0.002042,-0.00053
309.418564,9.021,0.621897,0.001253,0.000306,-0.002033,-0.000535
310.683041,9.021,0.136286,0.001256,0.000309,-0.002034,-0.000535
313.182879,9.023,-0.116694,0.00125,0.00031,-0.002031,-0.00053
315.668261,9.024,0.649643,0.001241,0.000309,-0.002032,-0.00053
316.93266,9.025,-0.266642,0.001238,0.000309,-0.002037,-0.000531
319.433339,9.026,0.642306,0.00124,0.000312,-0.002035,-0.00053
320.682805,9.027,-0.28156,0.001237,0.000313,-0.002034,-0.000527
323.198583,9.028,0.599551,0.001237,0.000316,-0.002038,-0.000523
324.465943,9.029,0.701699,0.001239,0.000317,-0.002035,-0.000519
326.98095,9.031,-2.188555,0.001234,0.000315,-0.002033,-0.000519
329.47936,9.032,1.158772,0.001231,0.000316,-0.002031,-0.000521
330.729907,9.033,-1.833963,0.001232,0.000318,-0.002033,-0.000519
333.261084,9.034,0.65237,0.001241,0.000322,-0.002036,-0.000515
334.527741,9.035,2.07883,0.001245,0.000325,-0.002032,-0.000514
337.043083,9.036,0.782487,0.001246,0.000331,-0.002037,-0.000513
339.558813,9.037,0.763298,0.001232,0.000324,-0.002034,-0.000518
340.824059,9.038,-0.007608,0.001231,0.000326,-0.002035,-0.000517
343.355085,9.039,0.678774,0.001236,0.000333,-0.002037,-0.000509
344.605528,9.04,0.835497,0.001238,0.000333,-0.002033,-0.000508
347.08981,9.042,0.681204,0.001242,0.000334,-0.002036,-0.000505
349.589096,9.045,0.829136,0.001256,0.000343,-0.002032,-0.000503
350.839368,9.045,0.850235,0.001257,0.000344,-0.002037,-0.0005
353.354909,9.046,0.782641,0.001253,0.000344,-0.002033,-0.000496
354.606067,9.047,0.802758,0.001249,0.000343,-0.002032,-0.000499
357.11984,9.048,0.764953,0.001247,0.000342,-0.002036,-0.000502
359.619904,9.049,0.896995,0.001251,0.000342,-0.002039,-0.000503
360.87107,9.049,0.787315,0.001243,0.00034,-0.002032,-0.000504
363.401474,9.05,0.704813,0.001233,0.000337,-0.002039,-0.000506
364.667042,9.051,1.494515,0.001231,0.000335,-0.00204,-0.000508
367.183188,9.053,1.954252,0.00124,0.00034,-0.002039,-0.000499
368.449909,9.053,0.784964,0.001236,0.000339,-0.002038,-0.000503
370.980798,9.055,0.864384,0.001232,0.000339,-0.002033,-0.000505
373.495479,9.056,0.835157,0.001232,0.000341,-0.002032,-0.000504
